date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:58:26	9597/9597	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:26%20GMT	https://gtoria.net/user/profile/Andrewbruce957	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/Andrewbruce957.html	(from https://gtoria.net/user/profile/Nidoking)
01:58:27	11293/11293	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:27%20GMT	https://gtoria.net/user/profile/Crazy_Harpy420	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/Crazy_Harpy420.html	(from https://gtoria.net/user/profile/Nidoking)
01:58:27	6894/6894	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:27%20GMT	https://gtoria.net/friends/show/Nidoking	C:/My%20Web%20Sites/axone%20v2/gtoria.net/friends/show/Nidoking.html	(from https://gtoria.net/user/profile/Nidoking)
01:58:27	9712/9712	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:27%20GMT	https://gtoria.net/user/profile/magallanes	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/magallanes.html	(from https://gtoria.net/groups/view/148)
01:58:28	9518/9518	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:28%20GMT	https://gtoria.net/user/profile/doop	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/doop.html	(from https://gtoria.net/user/profile/Shedletsky)
01:58:28	6895/6895	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:28%20GMT	https://gtoria.net/friends/show/Shedletsky	C:/My%20Web%20Sites/axone%20v2/gtoria.net/friends/show/Shedletsky.html	(from https://gtoria.net/user/profile/Shedletsky)
01:58:28	6888/6888	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:28%20GMT	https://gtoria.net/friends/show/6392	C:/My%20Web%20Sites/axone%20v2/gtoria.net/friends/show/6392.html	(from https://gtoria.net/user/profile/6392)
01:58:29	7405/7405	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:28%20GMT	https://gtoria.net/groups/view/32	C:/My%20Web%20Sites/axone%20v2/gtoria.net/groups/view/32.html	(from https://gtoria.net/user/profile/greatgamer99)
01:58:29	9758/9758	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:29%20GMT	https://gtoria.net/user/profile/heyguys	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/heyguys.html	(from https://gtoria.net/user/profile/greatgamer99)
01:58:29	9315/9315	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:29%20GMT	https://gtoria.net/user/profile/D95	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/D95.html	(from https://gtoria.net/user/profile/greatgamer99)
01:58:29	9732/9732	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:29%20GMT	https://gtoria.net/user/profile/owo	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/owo.html	(from https://gtoria.net/user/profile/ABC)
01:58:30	10017/10017	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:30%20GMT	https://gtoria.net/user/profile/GuestIsJustBest	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/GuestIsJustBest.html	(from https://gtoria.net/user/profile/Stick)
01:58:30	6895/6895	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:30%20GMT	https://gtoria.net/friends/show/Crossroads	C:/My%20Web%20Sites/axone%20v2/gtoria.net/friends/show/Crossroads.html	(from https://gtoria.net/user/profile/Crossroads)
01:58:30	7449/7449	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:30%20GMT	https://gtoria.net/groups/view/127	C:/My%20Web%20Sites/axone%20v2/gtoria.net/groups/view/127.html	(from https://gtoria.net/user/profile/Unknown)
01:58:31	10723/10723	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:31%20GMT	https://gtoria.net/user/profile/blueman	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/blueman.html	(from https://gtoria.net/user/profile/Unknown)
01:58:31	6893/6893	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:31%20GMT	https://gtoria.net/friends/show/Unknown	C:/My%20Web%20Sites/axone%20v2/gtoria.net/friends/show/Unknown.html	(from https://gtoria.net/user/profile/Unknown)
01:58:31	9836/9836	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:31%20GMT	https://gtoria.net/user/profile/felongcoguio	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/felongcoguio.html	(from https://gtoria.net/user/profile/Builderman)
01:58:32	10063/10063	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:32%20GMT	https://gtoria.net/user/profile/waroldguy	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/waroldguy.html	(from https://gtoria.net/user/profile/Builderman)
01:58:32	11249/11249	---MCZ	200	added ('OK')	text/html	date:Mon,%2023%20Aug%202021%2023:58:32%20GMT	https://gtoria.net/user/profile/septa	C:/My%20Web%20Sites/axone%20v2/gtoria.net/user/profile/septa.html	(from https://gtoria.net/user/profile/Builderman)
